Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,96475,1,1,2,2,20,0,239,0.000%,802.42036,343.93,146.54
TOTAL,96475,1,1,2,2,20,0,239,0.000%,802.42036,343.93,146.54
